Major_Cd,N_Terms,Graduated,Transfer_Cr,Inst_Cr,ACCT220,ACCT230,ECON160,ECON161,COMP100,SOM120,ENGL205,BLAW280,MATH103,MATH150A,MATH150B,BUS302,FIN303,MGT360,MKT304,SOM306,BUS497,BLAW308,FIN352,FIN355
230727B,1,Y,66,58,1:1B,1:1D+,3:0F,1:1C,1:1C,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1B-,1:1C,1:1B-,2:1C-,2:1C,0:0NA,2:1C-,0:0NA,0:0NA
230727B,1,Y,122,35,1:1C,1:1C,1:1B,1:1C,0:0NA,1:1C,0:0NA,1:1B,1:1A,1:1C,1:0,1:1B,1:1B,1:1A,1:1B,0:0NA,0:0NA,1:1B,1:1C,1:1B
230727B,1,Y,70,55,1:1C,1:1C,1:1B,1:1B,1:1C,2:1C-,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:1B,1:1D,1:1A,2:1B-,3:1D-,0:0NA,1:1B,0:0NA,0:0NA
230727B,1,Y,70,50,1:1A,1:1C,1:1B,1:1B,1:1A,0:0NA,0:0NA,1:1A,1:1C,0:0NA,0:0NA,1:1B,1:1C,1:1B-,1:1C+,1:1C,0:0NA,1:1B-,0:0NA,0:0NA
230727B,1,Y,0,128,1:1A,1:1B+,1:1B,1:1B,1:1A,1:1A,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1B+,1:1A,1:1B+,1:1A-,1:1A,0:0NA,1:1B,0:0NA,0:0NA
230727B,1,Y,70,68,1:1A,1:1B,1:1A,1:1A,1:1A,1:1A,0:0NA,1:1A,1:1A,0:0NA,0:0NA,1:1A-,3:1B+,1:1B-,1:1B-,1:1B,0:0NA,1:1B,0:0NA,0:0NA
230727B,1,Y,40,140,1:1A,1:1C,1:1A,1:1B+,1:1A-,1:1C+,0:0NA,1:1C+,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,1:1B-,0:0NA,0:0NA,1:1B-,0:0NA,0:0NA
230727B,1,Y,70,58,1:1A,1:1A,1:1A,1:1A,1:1A,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,1:1A,1:1A,0:0NA,1:1A-,0:0NA,0:0NA
230727B,1,Y,70,59,1:1A,1:1B,1:1B,1:1B,1:1B,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,2:0,1:1C+,1:1C-,1:1A,2:0,0:0NA,1:1C+,0:0NA,0:0NA
230727B,1,Y,53,161,1:1B+,1:1C+,0:0NA,0:0NA,1:1A,1:1A-,0:0NA,1:1A-,1:1C+,0:0NA,0:0NA,2:0,2:1A,1:1C,1:1B,0:0NA,0:0NA,1:1B-,0:0NA,0:0NA
230727B,1,Y,66,55,1:1A,1:1B,1:1A,1:1A,1:1A,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1B-,1:1B,1:1B-,1:1B+,1:1B+,0:0NA,1:1B-,0:0NA,0:0NA
230727B,1,N,65,6,1:1A,1:1C,1:1C,1:1C,1:1C,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230727B,1,Y,70,75,2:0,1:1C,2:0,1:1B,1:1B,2:0,0:0NA,1:1B-,0:0NA,0:0NA,0:0NA,1:1B+,1:1C+,1:1C,1:1C,1:1C,0:0NA,2:1A,0:0NA,0:0NA
230727B,1,Y,70,52,1:1B,1:1B,1:1C,1:1B,1:1A,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1B-,1:1D,1:1C+,1:1C,1:1C,0:0NA,1:1C+,0:0NA,0:0NA
230727B,1,N,0,88,2:0F,0:0NA,3:0WU,0:0NA,1:1A-,1:1C,0:0NA,1:1D,2:0W,0:0NA,0:0NA,0:0NA,0:0NA,1:1C-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230727B,1,Y,17,119,1:1C,1:1C,1:1C,1:1A-,1:1A,1:1C+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1C,1:1B-,2:1C,1:1C+,0:0NA,1:1A,0:0NA,0:0NA
230727B,1,N,70,51,1:1B,1:1A,1:1A,1:1A,1:1A,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,2:1C+,1:1A,1:1B,3:1A-,0:0NA,0:0NA,1:1A-,0:0NA,0:0NA
230727B,1,Y,70,55,1:1A,1:1B,1:1B,1:1B-,0:0NA,0:0NA,0:0NA,0:0NA,1:1A-,0:0NA,0:0NA,1:1A-,1:1A-,1:1B-,1:1A-,1:1C,0:0NA,1:1C,0:0NA,0:0NA
230727B,1,Y,73,103,1:1B,2:1C,1:1B,1:1B,1:1B+,1:1C,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1B+,2:1A,2:1D+,1:1C,1:1C,0:0NA,1:1C,0:0NA,0:0NA
230727B,1,Y,70,55,1:1C,1:1B,1:1B,1:1C,1:1B,0:0NA,0:0NA,1:1C,1:1C,0:0NA,0:0NA,2:1C+,4:1B,4:0,3:0,2:1C,0:0NA,2:1C,0:0NA,0:0NA
230727B,1,Y,70,50,1:1A,1:1B,1:1C,1:1C,1:1B,0:0NA,0:0NA,1:1B,1:1B,0:0NA,0:0NA,1:1B+,1:1A-,1:1C,1:1A-,0:0NA,0:0NA,1:1C,0:0NA,0:0NA
230727B,1,N,70,18,1:1B,1:1C,1:1B,1:1B,1:1A,0:0NA,0:0NA,1:1B,1:1B,0:0NA,0:0NA,1:0,0:0NA,0:0NA,1:0,0:0NA,0:0NA,1:1B+,0:0NA,0:0NA
230727B,1,Y,70,84,1:1A,0:0NA,1:1B,1:1A,1:1B,0:0NA,0:0NA,1:1B,0:0NA,1:1C,0:0NA,0:0NA,2:1C,2:1A-,1:1C+,1:1B-,0:0NA,2:1C,0:0NA,0:0NA
230727B,1,Y,65,55,1:1B,1:1A,1:1B,1:1A,1:1A,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1B,1:1C+,2:0,2:1A,1:1B,0:0NA,2:1D+,0:0NA,0:0NA
230727B,1,Y,68,93.5,0:0NA,0:0NA,2:0U,1:1C,1:1B-,0:0NA,0:0NA,1:1C,2:0F,0:0NA,0:0NA,0:0NA,1:1C,1:1B,1:1B-,2:1B-,0:0NA,1:1B-,0:0NA,0:0NA
230727B,1,Y,70,60,1:1A,0:0NA,1:1B,1:1B,1:0W,0:0NA,0:0NA,1:1D,0:0NA,1:1B,1:1C,1:1B,1:1A,1:1B-,2:1B,1:1A,0:0NA,1:1C,0:0NA,0:0NA
230727B,1,Y,65,56,1:1A,1:1A,1:1C,1:1C,1:1B,0:0NA,0:0NA,1:1B,1:1A,0:0NA,0:0NA,1:1B,1:1B,1:1C,2:1B-,1:1C,0:0NA,1:1C+,0:0NA,0:0NA
230727B,1,Y,76.3,68,1:1A,1:1B,0:0NA,0:0NA,1:0,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1C,1:1A-,1:1C,1:1A,1:1B,0:0NA,1:1B,0:0NA,0:0NA
230727B,1,Y,70,58,1:1B,1:1C,1:1C,1:1B,1:1A,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1A-,1:1B,1:1B+,1:1B,1:1B-,0:0NA,1:1B,0:0NA,0:0NA
230727B,1,Y,87,52,1:1B,1:1C-,1:1A,1:1A,1:1B,0:0NA,0:0NA,1:1C+,0:0NA,0:0NA,0:0NA,1:1C+,2:0,1:1B,1:1C-,1:1D,0:0NA,2:1A-,0:0NA,0:0NA
230727B,1,Y,70,55,1:1A,1:1C,1:1B,1:1A,1:1A,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,2:1B,1:1C+,1:1C,1:1B,1:1A-,0:0NA,2:1B,0:0NA,0:0NA
230727B,1,Y,3,124,1:1B+,2:1C,1:1B,1:1A,1:1A,0:0NA,0:0NA,2:1B-,0:0NA,0:0NA,0:0NA,1:1B+,1:1C,2:1A,2:1B+,1:1A-,0:0NA,1:1C-,0:0NA,0:0NA
230727B,1,N,62,27,1:1B,1:1B,1:1C,1:1C,1:1A,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,1:1C+,0:0NA,0:0NA,2:0,0:0NA,0:0NA
230727B,1,Y,70,55,1:1A,1:1B,1:1A,1:1B,1:1A,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1B+,1:1B+,1:1B+,1:1B,1:1A,0:0NA,1:1B+,0:0NA,0:0NA
230727B,1,Y,70,50,1:1B,1:1A,1:1C,1:1C,1:1A,1:0,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:1B+,1:1C-,1:1C,1:1C,1:1C,0:0NA,1:1B-,0:0NA,0:0NA
230727B,1,N,70,31,1:1A,1:1B,1:1B,1:1C,1:1B,0:0NA,1:1C,1:1C,1:1C,0:0NA,0:0NA,1:1B,2:1C-,1:1C,1:1C,1:1C,0:0NA,1:1B,0:0NA,0:0NA
230727B,1,Y,70,53,1:1A,1:1A,1:1A,1:1B,1:0,0:0NA,0:0NA,1:1B,1:1B,0:0NA,0:0NA,1:1A-,1:1A,1:1A-,1:1C+,1:1A-,0:0NA,1:1B-,0:0NA,0:0NA
230727B,1,N,114,6,1:1A,1:1B,1:1B,1:1A,1:1B,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230727B,1,Y,16,119,1:1B,1:1B,1:1C,1:1C,1:1A-,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1B-,1:1C,1:1C+,1:1D,1:1C,0:0NA,1:1B,0:0NA,0:0NA
230727B,1,N,70,55,1:1B,1:1A,1:1A,1:1A,1:1A,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1B-,1:1B,1:1B-,2:1B,1:1C+,0:0NA,1:1B-,0:0NA,0:0NA
