Major_Cd,N_Terms,Graduated,Transfer_Cr,Inst_Cr,MATH105,MATH102,MATH104,MATH255A,BIOL106,BIOL107,CHEM101,CHEM102,PHYS100A,PHYS100B,BIOL322,BIOL360,BIOL380,CHEM333,CHEM334
780602B,6,N,8,85,3:1C-,0:0NA,0:0NA,0:0NA,1:1B,1:1C,0:0NA,0:0NA,3:0W,0:0NA,1:1C,2:1D,0:0NA,0:0NA,0:0NA
780602B,4,N,0,85,2:1C,0:0NA,0:0NA,0:0NA,2:1D,0:0NA,0:0NA,0:0NA,1:1C+,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,4,N,15,54,0:0NA,1:1B+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,1,N,70,16,1:1C,1:1B,0:0NA,1:0B,1:1,1:1,1:1B,1:1B,1:1C,2:1C,2:0,3:0,1:0,5:0,0:0NA
780602B,2,N,70,18,1:1C,0:0NA,0:0NA,1:0C,1:1C,1:0W,1:1C,1:1C,1:0W,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,1,N,32,50,0:0NA,1:1C,2:1D,0:0NA,3:1D,1:0,2:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,2,N,94,12,0:0NA,1:1B,0:0NA,1:1B,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,8,N,40,83,0:0NA,1:1D,1:1B,1:1D,1:1C,1:1C,1:1B-,1:1B,0:0NA,0:0NA,2:0,1:1C-,1:0W,1:1C,2:0F
780602B,5,N,6,84,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,6,N,6,108,1:1B,0:0NA,0:0NA,1:1A,1:1A,1:1A,1:1B,1:1A,1:1A,1:1C+,1:1A,1:1A-,1:1A,1:1B,1:1B
780602B,4,N,3,61,0:0NA,2:0,0:0NA,0:0NA,4:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,5,N,27,56,1:1A,0:0NA,0:0NA,2:1A,1:1A,1:1A,1:1B+,2:1B,1:1B,1:1B-,1:1C-,1:1C+,2:1A,1:1C,1:1C+
780602B,5,N,84.5,94,2:0F,0:0NA,0:0NA,0:0NA,1:1,1:1,3:1C+,1:1D+,2:1D+,2:1B,1:1D,2:1C-,2:1D,1:0W,1:0
