Major_Cd,N_Terms,Graduated,Transfer_Cr,Inst_Cr,ACCT220,ECON309,ECON310,ECON311,ECON401,ENGL205,ENGL305,ENGL306,ECON160,ECON161,MATH103,MATH150A,MATH255A,MATH140,SOM120
233904B,1,N,66,60,3:1A-,1:1C,1:1C+,1:1D,1:1C+,1:0,0:0NA,0:0NA,1:1B,1:1B,1:1B,0:0NA,0:0NA,1:1C,0:0NA
233904B,8,N,70,51,1:1,1:1C,1:1B,2:1B,1:1B+,0:0NA,0:0NA,0:0NA,1:1A,1:1A,1:1A,0:0NA,1:0A,1:1A,0:0NA
233904B,6,N,70,50,1:1C,1:1C,1:1C,1:1B-,1:1C-,1:1A,0:0NA,0:0NA,1:1C,1:1C,1:1C,0:0NA,0:0NA,1:1B,1:1D
233904B,7,N,108,53,1:1B,1:1B,2:1C,1:1B,2:1C-,1:1A-,0:0NA,1:0,1:1B,1:1C,0:0NA,1:1B-,1:0D,1:1C,0:0NA
233904B,9,N,70,60,1:1C,1:1C,1:1C,1:1C-,2:1C,1:1A,0:0NA,0:0NA,1:1B,1:1B,4:0C,0:0NA,0:0NA,1:1B,0:0NA
233904B,8,N,6,124,1:1C+,1:1B,1:1B,1:1B+,2:1C,1:1A-,0:0NA,0:0NA,1:1B-,1:1B-,1:1C,0:0NA,0:0NA,2:1A,0:0NA
233904B,5,N,68,32,1:1C,2:1C,1:1C,3:0,1:0F,0:0NA,0:0NA,0:0NA,1:1A,1:1B,1:1B,0:0NA,0:0NA,1:1C,0:0NA
233904B,6,N,10,130,1:1C,1:1C,1:1C,1:1C,1:1C-,0:0NA,1:1C+,0:0NA,3:0,1:1C,1:1C,0:0NA,0:0NA,2:1C,0:0NA
233904B,7,Y,70,50,1:1C,1:1C,2:1B,1:1C,1:1D,1:1B,0:0NA,0:0NA,1:1C,1:1C,1:1B,0:0NA,0:0NA,2:0,0:0NA
233904B,7,Y,70,57,1:1B+,1:1B+,1:1B+,1:1B-,1:1B-,0:0NA,0:0NA,1:1A,1:1B,1:1B,0:0NA,1:1A,1:0A,0:0NA,1:1B
233904B,7,N,68,9,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,1:1B,1:1B,0:0NA,0:0NA,0:0NA,2:1B,0:0NA
233904B,2,N,70,13,1:1B,1:1C+,1:0,1:1C,0:0NA,1:1B,0:0NA,0:0NA,1:1C,1:1C,1:1B,0:0NA,0:0NA,1:1B,0:0NA
233904B,5,Y,119,32,1:0A,2:1A,1:1B+,1:1C,1:1B,1:1B,0:0NA,0:0NA,1:0A,1:1A,0:0NA,1:0B,0:0NA,1:0B,0:0NA
233904B,11,N,82,46,0:0NA,1:1B,1:1B,1:1C,2:1C+,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,1:0,1:1B+,0:0NA,1:1B,0:0NA
233904B,4,N,3,118,1:1B,1:1B,1:1C,1:1B-,1:1C+,0:0NA,0:0NA,0:0NA,1:1A-,1:1A-,1:1B,0:0NA,0:0NA,1:1B,0:0NA
233904B,4,N,0,91,1:1A,0:0NA,1:1A-,0:0NA,0:0NA,0:0NA,2:1A-,0:0NA,2:0,1:1A,0:0NA,1:1A,0:0NA,0:0NA,0:0NA
233904B,5,N,18,54,2:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1A,0:0NA,1:1A,1:1A-,2:1A-,0:0NA,0:0NA,0:0NA,0:0NA
233904B,1,N,52.5,42,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1A,0:0NA,1:1A,0:0NA,0:0NA,1:1A
233904B,4,N,131,43,1:1B,1:1D,1:1C,1:1D,0:0NA,1:1A,0:0NA,0:0NA,1:1B,1:1C,1:1C,0:0NA,0:0NA,1:1B,0:0NA
233904B,4,N,3,12,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
233904B,4,N,0,53,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C-,0:0NA,0:0NA,1:1B,1:1B,1:1C,0:0NA,0:0NA,1:1B,0:0NA
233904B,6,N,70,25,1:1C,1:1C,1:1C,2:0,0:0NA,1:0,0:0NA,1:1C,1:1C,1:1B,1:1C,0:0NA,0:0NA,1:1C,0:0NA
233904B,4,N,35,41,1:1B,1:0,1:0,1:0,0:0NA,1:1A,0:0NA,0:0NA,1:1A,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA
233904B,4,N,70,25,1:1A,1:1C,1:1B-,1:1C,1:0,1:1A,0:0NA,0:0NA,1:1B,1:1B,1:1C,0:0NA,0:0NA,1:1B,0:0NA
233904B,2,N,43,61,1:1B,1:1D+,1:0,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,3:0,1:1B,4:1B+,0:0NA,0:0NA,0:0NA,0:0NA
233904B,6,N,101,37,1:1A,1:1B,1:1A-,1:1A,1:1A,0:0NA,0:0NA,1:1A,1:1A,1:1B,2:0,0:0NA,0:0NA,0:0NA,0:0NA
233904B,2,N,70,9,1:0,1:0,1:1C,1:1B-,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1C,1:1C,0:0NA,0:0NA,1:1B,0:0NA
233904B,2,N,6.7,40,1:0,0:0NA,0:0NA,0:0NA,0:0NA,1:1B+,0:0NA,0:0NA,1:1B,1:0,1:1B,0:0NA,0:0NA,1:0,0:0NA
233904B,5,N,70,6,1:1A,0:0NA,1:1D+,1:0F,0:0NA,0:0NA,0:0NA,1:1C+,1:1C,1:1C,0:0NA,1:1C,1:0C,0:0NA,0:0NA
233904B,5,N,74,36,1:1B,1:1A-,1:1A,2:1A,1:0,1:1A,0:0NA,0:0NA,1:1A,1:1B,0:0NA,1:1A,1:0A,1:1C,0:0NA
233904B,4,N,4,40,1:0,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,1:1B,1:1C,1:1A,0:0NA,0:0NA,0:0NA,0:0NA
233904B,4,N,70,36,1:1A,2:0,2:1C,1:1D-,0:0NA,1:1C,0:0NA,0:0NA,1:1C,1:1B,1:1B,0:0NA,0:0NA,1:1A,0:0NA
233904B,6,N,70.3,25,2:0,2:0,2:0,1:1D-,0:0NA,1:1B,0:0NA,0:0NA,3:1C,1:1C,4:0C+,0:0NA,0:0NA,1:1C,0:0NA
233904B,6,N,61,32,1:1A,2:0,2:1D-,1:1B-,0:0NA,1:1B,0:0NA,0:0NA,1:1C,1:1C,1:1C,0:0NA,0:0NA,2:1B+,0:0NA
233904B,4,N,66,35,1:1B,1:1C,2:1D,2:0,1:0,1:1A-,0:0NA,0:0NA,1:1C,1:1C,0:0NA,1:1C,1:0C,0:0NA,0:0NA
233904B,9,N,70,21,1:1C,0:0NA,1:0,1:1C,0:0NA,1:1B,0:0NA,0:0NA,1:1C,1:1C,1:1C,0:0NA,0:0NA,1:0,1:0
233904B,4,N,62,3,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,1:1C,1:1B,1:1A,0:0NA,0:0NA,1:1A,0:0NA
233904B,4,N,18,41,1:1B-,0:0NA,1:0,1:1C,0:0NA,1:1A-,0:0NA,0:0NA,1:1B,1:1A,1:1B-,0:0NA,0:0NA,0:0NA,1:1D
233904B,8,N,56,52,3:1C+,2:1C,1:1C,2:1C,1:0,1:1A-,0:0NA,0:0NA,1:1B,1:1B,1:1C+,0:0NA,0:0NA,1:1C,0:0NA
233904B,7,N,3,43,1:0,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:0,0:0NA,1:1A,1:0,1:1B-,0:0NA,0:0NA,0:0NA,1:1D
233904B,2,N,70,13,1:1B,1:1B,1:1C,1:1B-,0:0NA,1:1B,0:0NA,0:0NA,1:1B,1:1B,1:1C,0:0NA,0:0NA,1:1B,0:0NA
233904B,4,N,72,43,1:1C,1:1B-,2:0,2:0,1:0,0:0NA,0:0NA,1:1B,1:1C+,1:1C,1:1C,0:0NA,0:0NA,1:1B,0:0NA
233904B,2,N,70,6,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1A,0:0NA,0:0NA,0:0NA,1:1B,0:0NA
233904B,7,N,69,36,1:1C-,2:1C,2:1C,1:1D,1:0,1:1D,0:0NA,0:0NA,1:1C,1:1B,1:1A,0:0NA,1:0A,1:1A,0:0NA
233904B,3,N,17,37,0:0NA,0:0NA,0:0NA,1:0,0:0NA,1:0,0:0NA,0:0NA,1:1C+,1:1C,1:0,0:0NA,0:0NA,0:0NA,0:0NA
233904B,3,N,6,45,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,2:0,1:0,1:0,2:0,0:0NA,0:0NA,1:1A,0:0NA
233904B,7,N,66.3,43,1:1A,1:1B,1:1B-,2:1B,1:0,1:1A,0:0NA,0:0NA,1:1B,1:1B,1:1A,1:1D,1:0D,1:1B,0:0NA
233904B,5,N,70,36,1:1A,1:1B,1:1B-,2:1B,1:1B,1:1A-,0:0NA,0:0NA,1:1A,1:1C,0:0NA,1:1C,1:0C,1:1A,0:0NA
233904B,5,N,70,37,1:1C,1:1B,1:1C,1:1B+,2:1B,1:1B,0:0NA,0:0NA,1:1C,1:1B,1:1C,0:0NA,0:0NA,1:1C,0:0NA
233904B,2,N,6,44,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,3:0,0:0NA,0:0NA,3:0,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA
233904B,5,N,0,40,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,1:1C,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA
233904B,6,N,70,34,1:1C,1:1C,1:1C-,2:1C+,1:0,1:1C+,0:0NA,0:0NA,1:1A,1:1C,2:0,0:0NA,0:0NA,1:1C,0:0NA
233904B,7,N,66,33,1:1C,1:1B,1:1B,1:1A,1:1B-,0:0NA,0:0NA,0:0NA,1:1A-,1:1B+,1:1B,0:0NA,0:0NA,0:0NA,1:1C+
233904B,6,N,70,23,1:1B,1:0,1:1C,1:0F,0:0NA,1:0,0:0NA,0:0NA,1:1B,1:1B,1:1C,0:0NA,0:0NA,1:1C-,1:0WU
233904B,4,N,0,38,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1D,0:0NA,1:1C,0:0NA,0:0NA,1:1C,0:0NA
233904B,6,N,66,47,1:1A,1:1A,1:1A,1:1A,1:1A,1:1A,0:0NA,0:0NA,2:0,1:1A,3:0,0:0NA,0:0NA,1:0,0:0NA
233904B,4,N,82.6,40,1:1A,1:1B,1:1B-,1:1B-,1:0,0:0NA,0:0NA,0:0NA,1:1B,1:1A,1:1C,0:0NA,0:0NA,1:1B,0:0NA
233904B,2,N,70,12,1:1A,1:0,1:1B,1:0,0:0NA,1:1A,0:0NA,0:0NA,1:1A,1:1A,1:1B,0:0NA,0:0NA,1:1C,0:0NA
233904B,5,N,3,48,1:1A,1:0,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,1:1A,1:1A,0:0NA,0:0NA,0:0NA,1:1A,0:0NA
233904B,4,N,5,45,1:0,0:0NA,1:0,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:0,0:0NA,1:1A,1:0A,1:1A,0:0NA
233904B,6,N,0,37,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,1:1D-,0:0NA,0:0NA,1:0F,1:0,1:1C,0:0NA,0:0NA,0:0NA,1:1C+
233904B,3,N,6,42,1:0,1:0,1:0,0:0NA,0:0NA,1:1B-,0:0NA,1:0,1:1A,1:1C,1:1B,0:0NA,0:0NA,0:0NA,1:1C+
233904B,7,N,67,21,1:1C,2:1B,1:1B,1:1C-,0:0NA,1:1C,0:0NA,0:0NA,1:1A,1:1C,0:0NA,1:1B,1:0B,1:1A,0:0NA
233904B,3,N,67,16,1:1B,2:0,2:0,1:1B-,1:0,0:0NA,0:0NA,1:1B-,1:1B,1:1A,1:1B,0:0NA,0:0NA,1:1C,0:0NA
233904B,4,N,31,47,1:1A-,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,2:0,0:0NA,0:0NA,0:0NA,0:0NA,1:1A-
233904B,4,N,70,40,1:1B,1:1B,1:1B-,1:1B+,1:0,1:1B,0:0NA,0:0NA,1:1A-,1:1C,1:1A-,0:0NA,0:0NA,1:1B,0:0NA
233904B,2,N,0,39,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,1:0,0:0NA,0:0NA,1:1D+,0:0NA
233904B,7,N,0,127,2:1C,1:1C-,2:1C,1:1C-,1:0,2:1B+,0:0NA,0:0NA,2:1B,2:1C+,1:1C,0:0NA,0:0NA,0:0NA,2:1D+
233904B,3,N,70,28,1:1B,1:0,0:0NA,1:0,0:0NA,1:1B,0:0NA,0:0NA,1:1B,1:1A,1:0,0:0NA,0:0NA,1:1B,0:0NA
233904B,5,N,57,35,1:1B,1:1A,2:0,2:0,0:0NA,1:1A,1:0,0:0NA,1:1B,1:1A,1:1A,0:0NA,0:0NA,2:0,0:0NA
233904B,3,N,58,30,1:1A,1:0,0:0NA,1:0,0:0NA,1:1C,2:0,0:0NA,1:1B-,1:1B,2:1D,0:0NA,0:0NA,1:1C,0:0NA
233904B,5,N,6,34,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,1:1B,1:0,1:1C,0:0NA,0:0NA,0:0NA,1:1D
233904B,5,N,70,39,1:1,1:1B,1:1A,3:1B-,1:0,1:1B,0:0NA,0:0NA,1:1B,1:1B,1:1A,0:0NA,1:0A,1:1A,0:0NA
233904B,5,N,89.3,29,2:1A,1:0,1:0,1:1A,0:0NA,1:1B,0:0NA,0:0NA,1:1A,1:1A,0:0NA,1:1B,0:0NA,1:1A,0:0NA
