Major_Cd,N_Terms,Graduated,Transfer_Cr,Inst_Cr,ACCT220,ACCT230,BLAW280,COMP100,ECON160,ECON161,ENGL205,MATH103,SOM120,MATH150A,MATH150B,MATH140,BUS302,FIN303,MGT360,MKT304,SOM306,BLAW308
230726B,9,Y,23,116,3:0,1:1C,1:1C,1:1C,1:1C,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B-,1:1C+,1:1CR,1:1C-,1:1B,1:1C,3:1C-,1:1C
230726B,16,Y,3,134,3:1A-,1:1C+,1:1B,1:1B-,4:1C+,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1B,4:1CR,2:0,1:1A,1:1D+,2:1C-,1:1C
230726B,1,N,61,0,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,1:1A,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,4,N,54,31,1:1B,0:0NA,1:1B,1:1A-,1:1B,1:1B,0:0NA,1:1C,0:0NA,0:0NA,1:1B,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,9,Y,70,55,1:1C,1:1C,1:1B,2:1D,1:1C,1:1B,1:1B,1:1C,0:0NA,0:0NA,0:0NA,1:1C,1:1B,2:1CR,2:0F,1:1C,1:1D,1:1C,1:1C+
230726B,1,N,70,0,1:1B,1:1B,1:1A,1:1A,1:1B,1:1B,1:1A,0:0NA,0:0NA,1:1C,0:0NA,1:1A,1:1B+,1:1CR,2:1C+,2:1B,1:1C,1:1A,2:1C
230726B,5,N,70,40,1:1C,1:1D-,1:1B,1:1A-,2:0F,1:1B,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1C,1:1C,2:0NC,1:0F,1:1D-,1:1D-,1:1C-,1:1C
230726B,5,N,0,15,0:0NA,0:0NA,0:0NA,1:1C+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,1,N,0,0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1D+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,4,N,4,45,0:0NA,0:0NA,1:0WU,3:1D+,2:0F,0:0NA,0:0NA,1:0WU,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,6,Y,70,56,1:1B,1:1A,1:1A,1:1A,1:1A,1:1A,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:1A,1:1C-,1:1CR,1:1B-,1:1B-,2:1B,1:1C,1:1B
230726B,6,N,70,0,1:0WU,0:0NA,1:0F,1:0,1:0,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,7,Y,0,121,1:1C,1:1B-,1:1A-,2:1A,1:1A,1:1B,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1B,1:1CR,1:1B+,1:1B-,1:1B-,1:1C,1:1C
230726B,8,N,1,86,1:0F,0:0NA,1:1C,1:1C,1:1D,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0
230726B,1,N,70,0,1:1B,1:1B,1:1B,1:1B,1:1C,1:1C,1:1A,1:1C,0:0NA,0:0NA,0:0NA,1:1A,1:1C+,1:1CR,2:1C,3:1C+,1:1C,1:1C+,1:1B
230726B,3,N,35,1,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,2:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,2,N,0,12,0:0NA,0:0NA,0:0NA,2:1C,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,2,N,67,13,1:0F,0:0NA,1:1C,1:1B,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,1,N,73.3,3,0:0NA,0:0NA,1:0F,1:0,0:0NA,0:0NA,1:1B-,0:0NA,0:0NA,0:0NA,0:0NA,1:1A-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,6,Y,70,61.5,1:1B,0:0NA,1:1B,1:1,1:1C,1:1C,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1CR,2:1B,1:1C+,1:1B,0:0NA,1:1C
230726B,3,N,70,41,1:1C,1:1C,1:1B,1:1B,1:1C,1:1C,1:1C-,0:0NA,0:0NA,0:0NA,0:0NA,1:1D,1:1A-,1:1CR,1:1D,1:1C-,1:1C,1:1D,1:1C
230726B,11,Y,9,124,1:1C,3:0,1:1C,1:1A,2:0,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B,2:1CR,1:1A-,2:1C-,1:1C,2:1C,1:1B-
230726B,14,Y,14,113,2:0F,1:1D,1:1B+,1:1A,1:1B,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1C,2:1CR,1:1B+,2:1C-,1:1C,2:1D+,2:1C-
230726B,3,N,0,11,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,2,N,70,12,1:1B,2:0,1:1B,1:1A,1:1B,1:1C,1:1B,2:0W,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,3,N,0,38,1:1B-,1:1C-,1:1A-,1:1B,1:1C,1:1D,1:1B,1:1B,1:0WU,0:0NA,0:0NA,1:1C,1:1B,1:1CR,1:0F,0:0NA,2:1B-,1:1D,0:0NA
230726B,8,N,12,118,1:1B,1:1D+,1:1C,1:1B+,1:1C,1:1C,0:0NA,2:0,0:0NA,0:0NA,0:0NA,1:1C,1:0,1:0,0:0NA,0:0NA,1:1C+,1:1C,2:0
230726B,7,N,3,89,1:1C,1:1D+,1:1C,1:1B-,1:1D,1:1B,1:1C+,1:1C,0:0NA,0:0NA,0:0NA,1:1B+,1:1B,1:1CR,1:1C-,1:1C,2:1B,1:1C+,1:1D+
230726B,1,N,70,9,1:1B,1:1C,1:1C+,1:1A,1:1C,1:1B,1:1C,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:0,1:0,0:0NA,1:0,1:0,1:0,0:0NA
230726B,6,N,9,68,1:1D,0:0NA,1:1B,1:1A-,1:1C,1:1C,1:1B,2:0,1:1C+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,6,Y,70,77,1:1A,0:0NA,1:1A,1:1B+,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1A,4:1CR,5:1A,2:1C-,1:1C,0:0NA,1:1D
230726B,5,Y,70,73,1:1C,1:1C-,1:1B,1:1C-,2:0W,2:0F,0:0NA,0:0NA,2:0,0:0NA,0:0NA,1:0F,1:1C,1:1CR,0:0NA,1:1A,1:1B,1:1D+,1:1C
230726B,10,N,70,44,1:1A,1:1C,1:1B,1:1A,1:1C,1:1C,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,3:0,3:1CR,1:1D,1:1C+,1:1B-,1:0F,2:1B
230726B,3,N,76,89,1:1C,1:1C+,1:1B+,0:0NA,1:1B,2:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,3:1B-,2:1CR,1:1C-,1:1B,3:1D,1:1C-,1:1C
230726B,2,N,34,13,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,1:1B,0:0NA,1:0,0:0NA,0:0NA,0:0NA,2:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,9,N,0,107,1:0F,0:0NA,1:1B-,1:1A,1:1C,1:1C,0:0NA,3:0C,0:0NA,0:0NA,0:0NA,2:1B-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,3,N,62.5,16,0:0NA,0:0NA,1:1A,1:0,2:1D,0:0NA,0:0NA,1:1B-,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,5,Y,115,51,1:1A,1:1A,1:1A,1:1A,1:1A,1:1A,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1A-,1:1CR,0:0NA,1:1A-,1:1A,1:1A,1:1C
230726B,9,N,67,34,1:1C,1:1C,1:1A,1:1B,1:1B,1:1B,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C-,0:0NA
230726B,10,N,0,127,1:1B,1:1D+,1:1A,1:1A,1:1B,1:1D,0:0NA,2:0W,1:1C,0:0NA,0:0NA,0:0NA,1:1A-,1:1CR,2:0F,1:1B-,1:1A-,1:1B-,1:1A
230726B,5,Y,29,120,1:1C,2:1C+,1:1C+,1:1B,1:1C,1:1C,1:1C,3:0F,0:0NA,0:0NA,0:0NA,3:1C+,1:1B+,2:1CR,1:1D+,3:0,1:1C,1:1C,1:1C
230726B,2,N,0,108,2:1D,2:1C-,1:1C+,1:1B,1:1D+,3:0C,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,1:1A,1:1C+,2:1CR,1:0F,1:1C,1:1C,2:0,1:1C+
230726B,11,Y,6,129,1:1C,2:1D+,1:1C+,1:1A,1:1C+,1:1C,0:0NA,0:0NA,2:1C+,0:0NA,0:0NA,0:0NA,1:1A-,2:0,2:1C-,1:1C,1:1B,1:1C-,1:1C
230726B,3,N,24,76,0:0NA,0:0NA,2:0F,1:1C,2:0F,1:1C,0:0NA,2:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,10,N,61,38,2:0,0:0NA,1:1C,7:0C,4:1C-,1:1C,1:1C,3:0,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,2:0
230726B,25,N,0,116,2:1C+,1:1C+,1:1C-,1:1B,0:0NA,0:0NA,0:0NA,1:1B-,1:0,0:0NA,0:0NA,0:0NA,0:0NA,7:0,2:0,1:1D,2:0,0:0NA,1:1D
230726B,12,N,74,54,1:1A,1:1A,1:1A,1:1A,1:1B,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1B-,1:1CR,2:1D+,1:1C,1:1B-,2:1D,1:1B
230726B,3,N,0,3,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,1:0WU,0:0NA,0:0NA,0:0NA,1:0WU,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,7,Y,3,132,2:1C,1:1D,1:1A,1:1B,2:1D+,1:1D,0:0NA,0:0NA,2:1D,0:0NA,0:0NA,0:0NA,1:1A-,1:1CR,1:1C,1:1C+,1:1B,1:1D-,1:1C
230726B,2,N,70,3,1:1A,1:1B,1:1B,1:1B,1:1B,1:1A,1:1C,1:1B,0:0NA,0:0NA,0:0NA,1:1A,2:1C+,1:1CR,0:0NA,1:1B,2:1C,1:1B-,1:1B+
230726B,11,N,70,51,1:1C,1:1A,1:1C,1:1B,1:1B,1:1B,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,1:1B,1:1A-,7:1CR,2:1B-,1:1C-,1:1B-,1:1B-,3:0
230726B,4,N,12,12,0:0NA,0:0NA,0:0NA,1:1C-,0:0NA,0:0NA,1:0,2:0,0:0NA,0:0NA,0:0NA,1:0WU,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,9,N,16,70,0:0NA,0:0NA,1:1A-,1:1D-,2:1C+,1:1C,0:0NA,2:1C-,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,3,N,0,1,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,1,N,70,17,1:1B,1:1C,1:0WU,1:1A,1:1C-,1:1C,1:1C,3:1C,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,8,Y,60,97,1:1A,2:0,1:1A,1:1A,1:1C+,1:1B,2:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B-,1:1CR,0:0NA,1:1B-,2:1A,1:1B,2:0
230726B,8,N,21,52,1:1B,1:1B,1:1B,1:1A,1:1B+,1:1B+,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1A-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B+,0:0NA
230726B,3,N,6,15,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,3,N,0,83,0:0NA,0:0NA,1:1D+,1:1B,1:1D,0:0NA,1:1B-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,5,N,68,6,1:0,0:0NA,1:1C-,1:1A,1:1C,1:1B,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA
230726B,5,N,0,16,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,3,N,0,15,0:0NA,0:0NA,0:0NA,1:1B-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,9,N,70,52,1:1C,1:1A,1:1C,1:1B,1:1C,1:1C,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1C+,4:1CR,1:1C,2:1C-,1:1C,1:1D,2:0
230726B,4,N,0,28,0:0NA,0:0NA,1:0F,2:0F,1:0,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,8,Y,17,113,1:1C,1:1C,1:1A-,1:1B,1:1C,1:1C-,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1B,1:1CR,1:0F,4:1B,1:1B-,2:1B,1:1B+
230726B,8,N,70,59,1:1A,1:1C,1:1B,1:1A,1:1C,1:1B,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1B,1:1CR,0:0NA,1:1C+,1:1B,1:1B,1:1C
230726B,6,N,33,8,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,5,Y,70,65,1:1C,1:1C,1:1A,1:1B,1:1C,1:1B,1:1B,2:1C,0:0NA,0:0NA,0:0NA,1:1A,1:1B,1:1CR,1:1B-,3:1C,2:1C-,1:1C,2:0
230726B,5,Y,61,67,1:1B,1:1C,1:1B,1:1A,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1A,1:1CR,1:1A,1:1A,1:1B,1:1C+,1:1B+
230726B,11,Y,70,55,1:1B,1:1C,1:1A,1:1B,1:1B,1:1B,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1B+,1:1CR,3:1D,1:1C-,2:1C,1:1C,2:0
230726B,7,N,44,27,2:1A,1:1A-,1:1A,1:1B,0:0NA,1:1A,1:1A,0:0NA,1:1B,1:1C,0:0NA,0:0NA,1:1A,1:1CR,1:0,1:1A,1:1A-,1:1B+,1:1A-
230726B,20,N,0,57,0:0NA,0:0NA,0:0NA,1:1A-,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,12,N,70,43,2:0F,1:1B,3:0,1:1C,1:1C,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1C,1:1CR,1:1C-,1:1C+,1:1B-,2:1B,2:0
230726B,2,N,35,9,0:0NA,0:0NA,0:0NA,1:1A,2:0F,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA
230726B,2,N,32,45,1:1C,1:1B,0:0NA,2:1A-,1:1C,1:1C,1:1C+,1:1C,1:1C,0:0NA,0:0NA,0:0NA,1:0W,1:0W,1:1B,0:0NA,1:1C,1:1C,1:1C-
230726B,2,N,70,10,1:1B,1:1B,1:1A,1:1A,1:1B,1:1A,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1A-,1:1CR,1:1C-,1:1A-,1:1B,1:1C,1:1B
230726B,2,N,78,7,1:1C,0:0NA,1:1A,1:1A,1:1B-,1:1B-,1:1A,1:1B,0:0NA,0:0NA,0:0NA,1:1B,1:1C+,1:1CR,1:1B+,2:1B,1:1B-,1:1C,1:1B
230726B,9,N,3,82,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,2:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,6,N,70,22,1:0,0:0NA,1:1C,1:1C,3:0F,0:0NA,1:1C+,2:1C,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,4,Y,69,61,1:1B,1:1C,1:1A,1:1B,1:1C,1:1B,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1C+,1:1CR,1:1C,1:1B+,1:1B,1:1C,1:1B
230726B,6,Y,69,56,1:1B,1:1B,1:1C,1:1C,1:1A,1:1B,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1B-,1:1CR,1:1B,1:1C+,1:1C-,1:1C,2:1B-
230726B,11,N,0,66,1:0,0:0NA,1:1D,1:1C-,1:1D,2:0F,1:1B,2:1C,1:0F,0:0NA,0:0NA,3:1B-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,7,Y,70,52,1:1A,1:1A,1:1A,1:1B,1:1B,1:1B,1:1B,0:0NA,0:0NA,1:1B,1:1B,1:1A,1:1B,1:1CR,1:1B,1:1A-,1:1B-,1:1A,1:1B
230726B,5,N,70,46,0:0NA,0:0NA,1:1C+,1:0,1:1A,1:1B,0:0NA,1:1B,1:1B,0:0NA,0:0NA,0:0NA,1:1B,1:1CR,1:1B,1:1B+,1:1A-,1:1A-,1:1C+
230726B,6,N,49,41,1:1B,1:1C,2:0,2:1B,1:1C,1:1C,2:0,3:1B,0:0NA,0:0NA,0:0NA,2:1A,1:1A-,4:0W,1:0,0:0NA,1:0,1:0,0:0NA
230726B,4,N,11,57,0:0NA,0:0NA,1:1C,1:1B,2:0F,0:0NA,0:0NA,1:0WU,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,5,N,7,74,1:1A,1:1C,1:1C,1:1B-,1:1C+,1:1D+,1:1B+,2:1C+,0:0NA,0:0NA,0:0NA,1:1B-,1:1C+,2:1CR,1:1B-,1:1B,1:1C+,1:1C,2:1B
230726B,3,N,5.3,19,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,6,N,0,55,2:0,0:0NA,1:0F,1:1A,2:1D,1:0F,1:1C+,3:1C+,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,9,N,0,22,0:0NA,0:0NA,0:0NA,3:0,1:0F,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,6,Y,70,82,2:1C+,1:1C,1:1B,1:1A,1:1C-,1:1A,1:1B+,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1B+,1:1CR,1:0,1:1C,1:1C+,1:1C+,1:1B-
230726B,2,N,70,6,1:1A,1:1A,1:1B,1:1B,1:1B,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:0,2:0,0:0NA,0:0NA,0:0NA,1:1D,0:0NA
230726B,14,Y,0,144,1:1C,1:1B,1:1B-,1:1B,1:1D,1:1C,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1C-,3:0,1:0F,1:1B-,2:0,2:1D+,1:1B
230726B,4,N,0,0,0:0NA,0:0NA,0:0NA,1:0WU,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,6,N,70,34,0:0NA,1:1C,1:1C+,1:1A-,1:1C,1:1C,1:1B,3:0D,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,1:1A-,0:0NA,1:1C,1:1A,1:1C
230726B,5,N,62,25,0:0NA,0:0NA,2:0,1:1C,2:1C+,1:1C,0:0NA,2:1D,1:1D,0:0NA,0:0NA,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0F,0:0NA
230726B,7,N,0,45,0:0NA,0:0NA,1:0,1:1A-,1:0F,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,5,Y,74,52,1:1B,1:1B,1:1B,1:1B,1:1C,1:1B,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B+,1:1CR,1:0,1:1A-,1:1B,1:1B,3:0
230726B,4,N,48,6,1:0,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,7,Y,84,61,1:1B,1:1C,1:1A,1:1B,1:1A,1:1A,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1A,1:1B,1:1CR,1:1C,1:1B+,1:1B+,1:1C,1:1A-
230726B,6,Y,70,55,1:1C,1:1B-,1:1A,1:1B,1:1C,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1B,1:1CR,1:1B-,1:1A-,1:1C-,1:1C+,1:1B
230726B,6,Y,65.3,70,1:1B,1:1A-,1:1B,1:1A,2:1A,1:1C,1:1A-,1:1C,0:0NA,1:1C,0:0NA,1:1C,2:1B,2:1CR,2:1A,1:1A-,1:1B+,2:1C-,1:1A-
230726B,4,Y,70,58,1:1A,1:1B,1:1A,1:1B,1:1A,1:1A,1:1B,1:1C,0:0NA,0:0NA,0:0NA,1:1C,1:1B-,2:1CR,1:1D-,1:1C,1:1B,1:1C,1:1B-
230726B,5,N,120,31,1:1C,1:1C,1:1B,2:1B,1:1C,1:1C,2:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,2:1B-,2:1CR,0:0NA,1:1C,1:1C,1:0F,2:0
230726B,13,Y,0,149,3:1B,2:1C,1:1C+,1:1C+,1:1D,1:1D,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1D-,2:1B,2:1CR,1:1D,1:1C,1:1C+,2:1D,1:1C-
230726B,9,N,0,71,0:0NA,0:0NA,1:1C,1:1C+,2:1D,1:0F,0:0NA,2:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,6,N,9,51,0:0NA,0:0NA,1:1C,1:1A,1:1D,0:0NA,1:0,1:0,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B-
230726B,8,N,0,112,1:1D+,1:1C,3:1A-,1:1A-,1:1C-,1:1C,0:0NA,1:1B,1:1D-,0:0NA,0:0NA,0:0NA,1:1C+,2:0NC,1:1D,1:1B-,1:1B+,1:0,1:1C-
230726B,4,N,15,64,2:1D,3:1D+,2:0WU,1:1A-,1:1D,2:1C-,0:0NA,0:0NA,2:1C,0:0NA,0:0NA,0:0NA,1:1B-,1:1CR,2:1C-,1:1C,1:1C-,1:1D-,1:1C
230726B,8,Y,20,116,2:0,1:1D+,1:1B,1:1A,1:1C,1:1C,0:0NA,1:1B+,1:1D,0:0NA,0:0NA,0:0NA,1:1B-,3:0,0:0NA,2:0,2:1C+,3:1C,2:0
230726B,8,N,6,36,1:0WU,0:0NA,0:0NA,1:1C+,1:1C,1:0,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,4,N,29,8,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,5,Y,0,141,1:1B,1:1B,1:1A,1:1A,2:1B,1:1C,0:0NA,1:0,0:0NA,0:0NA,0:0NA,2:1B,1:1B+,1:1CR,2:1B,1:1B-,2:1A,2:1C,1:1B+
230726B,8,Y,0,121,1:1B,1:1A-,1:1B+,1:1C,1:1B,1:1B,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1A,1:1CR,0:0NA,1:1A,1:1B+,1:1B,1:1A
230726B,2,N,70,21,1:1A,1:1C,1:1A,1:1A,1:1C,1:1B,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,2:1C,3:0NC,1:1A,1:1D,1:1C+,1:1B,1:0
230726B,4,N,0,54,1:1D,0:0NA,1:1C-,1:1A,1:1C,2:1D-,1:1B,1:1C,1:0F,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,12,N,6,74,0:0NA,0:0NA,1:1C,1:1C,2:0F,1:0,1:1C+,2:0WU,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1D-,0:0NA,0:0NA
