Major_Cd,N_Terms,Graduated,Transfer_Cr,Inst_Cr,ACCT220,ACCT230,BLAW280,COMP100,ECON160,ECON161,ENGL205,SOM120,MATH103,MATH150A,MATH150B,MATH140,BUS302,FIN303,MGT360,MKT304,SOM306,MKT346,MKT348
230750B,1,N,60,12,0:0NA,0:0NA,2:1C,1:1B,1:1A,1:1D-,1:1B,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1D,1:1D+,0:0NA,1:1C-
230750B,3,Y,66,71,1:1B,1:1A,1:1C+,1:1A,1:1B,1:1B,1:1B,0:0NA,2:1B,0:0NA,0:0NA,1:1B,2:1B+,1:1D,1:1B,2:1C,2:1D+,1:1C-,1:1C
230750B,2,N,0,18,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,1:1A-,0:0NA,1:0WU,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,2,N,35,39,1:1B,2:0F,1:1C-,2:1A,1:1D,2:0F,1:1A,1:1C,2:0,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,2,N,70,3,1:1B,1:1C,1:1C,1:1C,1:1C,1:1C,1:1B,0:0NA,2:0W,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1C-,1:1D-,0:0NA,0:0NA
230750B,1,N,0,83,2:0,1:1B,0:0NA,1:1B,1:1D,1:1B,1:1A-,0:0NA,1:1C,0:0NA,0:0NA,1:1B-,0:0NA,0:0NA,0:0NA,2:0,0:0NA,0:0NA,0:0NA
230750B,5,N,70,18,1:1C,1:1C,1:1B,2:0W,1:1A,1:1A,1:1B,0:0NA,1:1B,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,3:0,0:0NA,0:0NA,2:1C+
230750B,2,N,70,12,1:1C,1:1B,1:1A,1:1A,1:1B,1:1B,1:1B+,0:0NA,0:0NA,1:1C,0:0NA,1:1A,1:1C+,1:1C,1:1B+,1:1C,1:1B+,0:0NA,0:0NA
230750B,2,N,6,12,1:1D,1:0,1:1C+,1:1B+,1:1C,1:0,1:1A-,1:1C-,1:1C+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,2,N,3,19,1:1C,1:1C,1:1B,0:0NA,1:1C,1:1C,1:1A,1:0F,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,14,N,33,85,1:1D,2:1D,1:1B,1:1A,2:1A,1:1C,2:1A-,0:0NA,1:1C+,0:0NA,0:0NA,2:1D-,2:1B+,1:0F,1:1B+,1:1C+,2:1D,2:0,2:0
230750B,2,N,70,50,2:0F,1:1C,1:1C,1:1C+,2:0F,1:1C,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,1:1C,1:1B,1:1C-,1:1C+,2:1C+,1:1C,0:0NA,0:0NA
230750B,6,N,6,33,1:0F,0:0NA,1:0,1:1A-,1:1D,0:0NA,1:1C,2:0F,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,9,N,14,77,1:1C+,2:0F,1:1C,1:1B,2:0F,1:1B,0:0NA,0:0NA,3:1C+,0:0NA,0:0NA,1:1B-,2:1B,0:0NA,2:1B,1:1B,1:1C,0:0NA,0:0NA
230750B,4,N,63,15,1:1C,1:0,1:1A,1:0B,1:1C,1:1C,1:1B,0:0NA,2:0,0:0NA,0:0NA,2:0,0:0NA,0:0NA,2:0,1:1C,0:0NA,0:0NA,1:0
230750B,5,N,53,42,1:1A,1:1A,2:1D,1:1A,1:1D,1:1B,1:1C-,0:0NA,1:1C,0:0NA,0:0NA,1:1C,1:1C+,1:1D-,1:1D,1:1C-,1:1D+,0:0NA,0:0NA
230750B,2,N,70,15,1:1B,1:1B,1:1B,1:1B,1:1A,1:1C,1:1B,0:0NA,1:1C,0:0NA,0:0NA,1:1B,1:1B+,1:1B,1:1C+,2:1C,1:1D,0:0NA,1:1B-
230750B,6,N,0,48,1:1A-,1:1A-,1:1C,1:1A,1:1B-,1:1B-,1:1A-,0:0NA,1:1A-,0:0NA,0:0NA,0:0NA,1:1B,1:1B,1:1C,1:1C,1:1B+,0:0NA,0:0NA
230750B,4,N,0,48,1:1A,1:1A,1:1A,1:1A,1:1A,1:1A,1:1A-,1:1A,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A-,1:1A,0:0NA,0:0NA
230750B,2,N,61,14,1:1A,1:1A,1:1A,1:1A,1:1C,1:1B,1:1A,1:1A-,1:1A,0:0NA,0:0NA,0:0NA,1:1A,1:1C+,1:1B,1:1B,1:1C+,0:0NA,0:0NA
230750B,7,N,0,75,1:1C+,1:1C,1:1D,1:1A,1:1C+,1:1B,1:1B-,0:0NA,1:1C,0:0NA,0:0NA,1:1B+,1:1B,1:1C,1:1B-,1:1B+,1:1B,0:0NA,0:0NA
230750B,10,N,61,67,1:1D,1:1C+,1:1B,1:1B,1:1C,1:1C,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,1:1B,1:1C,1:0,1:1C,2:1B-,1:1C-,1:1C,1:1B
230750B,9,Y,70,68,1:1B,1:1B,1:1B,1:1A,1:1A,1:1A,1:1A,0:0NA,1:1B,0:0NA,0:0NA,1:1B,1:1B+,1:1C-,1:1A,1:1C,1:1D,1:1B-,1:1B
230750B,4,Y,70,56,1:1C,2:1B,1:1B,1:1A,1:1B,2:1B,1:1C,0:0NA,1:1B-,0:0NA,0:0NA,1:1C,1:1A-,1:1D,1:1B,1:1B,2:0,1:1C,1:1C
230750B,5,N,59,10,0:0NA,0:0NA,1:1C,1:1A,1:1C,1:0F,1:1C,0:0NA,2:1A-,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,4,Y,70,63,1:1B,1:1A,1:1A,1:1B,1:1C,1:1B,1:1A,0:0NA,0:0NA,1:1C,0:0NA,1:1C,1:1B+,1:1B-,1:1A-,1:1C,1:1B+,1:1C,1:1B+
230750B,9,Y,13,132,2:0,1:1A,4:1B,1:1A-,1:1C,1:1C,1:1B+,0:0NA,2:1A-,0:0NA,0:0NA,1:1C+,1:1B+,1:1A,1:1B,1:1B,1:1B,1:1C+,1:1A
230750B,8,Y,67,83,1:1C,1:1C+,1:1C+,1:1C,2:1B,1:1B,1:1B-,1:1C+,1:1B-,0:0NA,0:0NA,1:1D,1:1B,1:1D+,1:1B+,1:1B,1:1B-,1:1C,1:1B-
230750B,4,N,0,13,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,1,N,15,48,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,4,N,0,94,1:1D,1:0F,2:1C-,1:1A,3:1C,2:1C-,2:1B+,0:0NA,2:1C,0:0NA,0:0NA,2:1D+,0:0NA,0:0NA,0:0NA,0:0NA,1:1D,0:0NA,0:0NA
230750B,7,N,68,45,1:1C,1:1A,1:1B,1:1B,1:1B,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1B,1:1C-,1:1D,1:1C-,1:1C,1:1D,2:0W
230750B,6,Y,70,50,1:1C,1:1B,1:1B,1:1A,1:1C,1:1C,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1A-,1:1C+,1:1B,1:1A-,1:1B+,1:1B,2:0
230750B,7,Y,70,51,1:1C,1:1C,1:1A,1:1A,1:1B,1:1C,1:1B+,0:0NA,1:1C,0:0NA,0:0NA,1:1B,1:1B-,2:1D,2:1C,1:1C,1:1D-,2:1C+,1:1B-
230750B,9,Y,62,80,1:1B,1:1B,1:1B,1:1B,1:1A,1:1C,1:1B,0:0NA,1:1B-,0:0NA,0:0NA,1:0,1:1B-,2:1C-,1:1C,1:1B-,1:1C,1:1B,1:1B
230750B,6,Y,0,133,1:1C,1:1C,1:1C,0:0NA,1:1D,1:1D,1:1C+,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1C,1:1D+,1:1B,1:1C+,1:1C,1:1C,1:1C
230750B,4,N,0,13,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,1,Y,68.5,58,1:1B,1:1B,1:1B,1:1B,1:1C,1:1C,1:1B,1:1C,1:0C,0:0NA,0:0NA,0:0NA,1:1C,1:1C-,1:1C-,1:1B,1:1C,1:1B-,1:1A-
230750B,11,Y,70,58,1:1B,1:1B,1:1A,1:1A,1:1A,1:1B,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,1:1C,1:1B+,1:1D,2:1B+,1:1C,2:0,1:1C,2:1A-
230750B,8,Y,0,124,1:1C,1:1C-,1:1B,1:1C,1:1C,2:1C-,1:1B,0:0NA,1:1A,0:0NA,0:0NA,1:1C,1:1B+,1:1C+,1:1B,1:1B,1:1C,1:1B-,1:1A-
230750B,13,Y,10,113,1:1D,1:1D+,1:1B+,2:1B-,1:1C,2:1C,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,2:1C,2:1D-,2:1B+,2:1C,1:1C,1:1C,1:1C
230750B,1,N,93,6,0:0NA,0:0NA,1:1C,2:0,1:1C,1:0F,0:0NA,0:0NA,1:0,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,5,Y,15,116,1:1C,1:1C+,1:1B,1:1A,1:1D,1:1C+,1:1A-,0:0NA,1:1B,0:0NA,0:0NA,1:1C+,1:1B-,1:1C-,1:1B,1:1C+,1:1D-,1:1C,1:1B
230750B,6,Y,70,68,1:1C,1:1C,1:1C,1:1A,1:1C,1:1B,1:1C,0:0NA,0:0NA,1:1C,0:0NA,1:1C,1:1C+,2:1D+,1:1C-,2:1C,2:1D,1:1C+,2:1C-
230750B,4,N,6,49,1:1A,1:1A,1:1A,1:1A,1:1A-,1:1A,1:1A,0:0NA,1:1A,0:0NA,0:0NA,1:1B+,1:1B-,2:0,2:1A,1:1A,1:1A,0:0NA,0:0NA
230750B,10,Y,70,52,1:1C,1:1C,1:1C,1:1A,1:1C,1:1C,1:1B+,1:1C,0:0NA,0:0NA,0:0NA,1:1D,1:1C+,0:0NA,1:1B,2:1C,1:1D+,2:1D,1:1D
230750B,6,Y,0,125,1:1C,1:1C,1:1C+,1:1C,1:1C,1:1A-,0:0NA,0:0NA,1:1C+,0:0NA,0:0NA,1:1C+,1:1B-,1:1B-,1:1B-,1:1C,1:1C,1:1B,1:1B
230750B,4,N,68.5,12,1:1,1:1A,1:1A,1:1A,1:1A,1:1B,1:1B+,0:0NA,1:1A,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1B+,0:0NA,0:0NA
230750B,4,N,0,12,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,5,Y,70,51,1:1B,1:1A,1:1B,1:1A,1:1B,1:1B,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,1:1A,1:1B+,1:1B,1:1A-,1:1A-,1:1B+,1:1C,1:1B
230750B,5,Y,68,53,1:1A,1:1C,1:1A,1:1C,1:1B,1:1B,1:1C,0:0NA,2:0F,0:0NA,0:0NA,1:1A,1:1C+,1:1C,1:1B,1:1C+,1:1C+,1:1D-,1:1B-
230750B,6,Y,70,71,1:1C,1:1C+,2:1D+,1:1C,1:1B,1:1B,1:1C+,1:1C,1:1D,0:0NA,0:0NA,0:0NA,2:1B-,1:1D+,1:1B,1:1C+,2:0,3:0,2:0
230750B,8,Y,70,55,1:1B,1:1B,1:1A,1:1A,1:1A,1:1A,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,4:0,0:0NA,2:1C+,2:1A-
230750B,6,Y,61,68,1:1C,1:1C-,1:1C-,1:1A-,1:1D,1:1C,1:1A-,0:0NA,1:1B,0:0NA,0:0NA,1:1A,2:1B,1:1C,1:1C+,1:1C,1:1D,1:1B-,1:1B
230750B,9,Y,0,129,1:1C,1:1C,1:1B-,1:1A-,1:1C+,1:1C-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1B+,1:1C,1:1C,1:1D+,1:1C-,2:1C+,2:1A
230750B,6,Y,10,121,1:1B,1:1B,1:1C-,1:1B,1:1D,1:1C+,1:1A-,0:0NA,1:1C,0:0NA,0:0NA,1:1C,1:1B+,1:1D+,1:1B,1:1C+,1:1B,3:1C-,1:1B-
230750B,12,Y,89,78,1:1A-,1:1A,2:1A,1:1A,1:1B,1:1B-,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,1:1A-,2:1C,1:1C,2:1C+,1:1B+,1:1B,1:1C,1:1A
230750B,8,Y,52,76,1:1C,1:1C,1:1B-,1:1A-,2:1A,1:1B,1:1A-,0:0NA,1:1B+,0:0NA,0:0NA,1:1A,1:1A,1:1D,2:1A,1:1B,1:1B-,1:1B,1:1B
230750B,11,Y,18,116,1:1C,1:1A-,1:1A-,1:1A,1:1A,0:0NA,1:1A-,0:0NA,1:1B,0:0NA,0:0NA,1:1B-,1:1A,1:1A-,1:1A-,1:1B,1:1B+,1:1A,1:1A-
230750B,6,Y,70,54,1:1B,1:1A,1:1B,1:1A,1:1A,1:1A,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1B,1:1B,1:1B,1:1C,1:1B-,1:1B-,1:1C+
230750B,9,N,64,32,0:0NA,0:0NA,2:1C-,1:1A,1:1C,2:1B,1:1D,0:0NA,1:0WU,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,5,Y,70,53,1:1B,1:1C,1:1B,1:1B,1:1C,1:1B,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1C+,1:1C+,2:1C,1:1C,2:1C,1:1C+
230750B,4,Y,3,143,1:1C-,1:1C-,1:1C-,1:1A,1:1C,2:1C,1:1B-,0:0NA,1:1A,0:0NA,0:0NA,2:0,1:1B,1:1B,1:1D+,1:1B,1:1B-,1:1C,1:1C
230750B,2,N,3,1,0:0NA,0:0NA,0:0NA,1:0F,1:0F,0:0NA,0:0NA,1:0,2:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,8,Y,70,60,1:1C,1:1C,1:1B,1:1C,1:1B,1:1C,1:1A,0:0NA,1:1A-,0:0NA,0:0NA,1:1B-,2:1C,2:1C,1:1A,2:1B,1:1C+,1:1C+,3:0
230750B,5,N,68.3,3,1:1,1:1,1:1C,1:1A,1:1B,1:1A,1:1C,0:0NA,1:0,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA
230750B,8,N,54,19,1:0,0:0NA,1:1C,1:1B,1:1C,0:0NA,1:1D+,0:0NA,1:0F,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,4,N,6,12,0:0NA,0:0NA,0:0NA,1:1C-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,4,Y,6,119,1:1C,1:1B,1:1C+,1:1A-,1:1B,1:1C,1:1B,0:0NA,1:1C,0:0NA,0:0NA,1:1B,1:1B+,1:1C,1:1A,1:1B+,1:1B-,1:1A,1:1A-
230750B,4,Y,25,104,2:1C,1:1B,1:1B,1:1A,1:1C,1:1B,1:1A,0:0NA,1:1B+,0:0NA,0:0NA,1:1C,1:1A-,1:1B,2:1B,1:1B,1:1C+,3:1B,1:1A
230750B,4,Y,18,110,1:1C,1:1D+,1:1C,1:1B-,1:1C,1:1D,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1B,1:1D+,1:1B-,1:1C,1:1D+,1:1D+,1:1B-
230750B,8,N,70,34,1:1C,1:1C,1:1B,1:1C,1:1C,1:1D,1:1C-,0:0NA,1:1B,0:0NA,0:0NA,1:1C,1:1C+,0:0NA,1:0F,1:1C,1:1D,0:0NA,1:1C+
230750B,7,Y,44,95,2:1C,1:1A,1:1B-,1:1A,1:1A,1:1B,1:1A-,1:1B+,1:1B,0:0NA,0:0NA,0:0NA,1:1C,1:1B,1:1B,1:1C+,1:1C-,1:1C+,1:1B
230750B,9,N,70,22,1:1B,2:0,1:1C,1:1A,1:0F,1:1C,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,1:1C+,0:0NA,0:0NA
230750B,7,N,25,52,1:1C,1:1C,1:1C,1:1A,1:1B,2:1B,1:1A-,1:1C,1:1B,0:0NA,0:0NA,0:0NA,1:1B,1:1B+,1:1B-,1:1B+,2:1C,0:0NA,0:0NA
230750B,3,N,70,12,1:1B,0:0NA,1:1A,1:1B,1:1B,1:1A,1:1A,0:0NA,1:0,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA
230750B,9,N,0,35,0:0NA,0:0NA,0:0NA,1:1B+,2:0,0:0NA,1:1B-,0:0NA,1:1C,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,3,N,65,26,1:1C-,0:0NA,1:1B+,0:0NA,1:1A,1:1C,1:1A-,0:0NA,1:1C+,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,1:1C-,0:0NA,0:0NA
230750B,10,Y,0,164,1:1C,1:1D+,2:1D+,1:1A,1:1C+,1:1D+,0:0NA,0:0NA,0:0NA,5:0C,1:1D,2:1B-,1:1B,1:1B-,1:1C,1:1C-,1:1C,2:1C,1:1C-
230750B,10,N,28,75,1:1B,1:1C,1:1A,1:1A,1:1D,1:1C,1:1B,0:0NA,1:1B,0:0NA,0:0NA,1:1B,1:1B-,0:0NA,1:0,1:1B,2:0WU,0:0NA,0:0NA
230750B,2,Y,0,125,2:1B,1:1C-,2:1A-,1:1B,3:1B,1:1D,0:0NA,1:1C-,1:0F,0:0NA,0:0NA,0:0NA,1:1B,2:1C-,1:1B,1:1C+,1:1C,1:1C,1:1B-
230750B,8,N,12,71,0:0NA,0:0NA,1:1D,2:1B,3:0WU,1:0F,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,7,Y,6,119,1:1C,1:1B-,1:1B,1:1A,1:1C,1:1D,1:1B,0:0NA,1:1B-,0:0NA,0:0NA,1:1C,1:1B-,1:1B,1:1C+,1:1C,1:1C-,1:1B,1:1C+
230750B,7,Y,3,129,1:1C,1:1B,1:1C+,1:1A,2:1B-,1:1B,0:0NA,0:0NA,1:1B-,0:0NA,0:0NA,1:1C,1:1B+,1:1C-,2:1C-,1:1B-,1:1C+,1:1A-,1:1B
230750B,2,Y,15,108,1:1C,4:1D,1:1C,1:1A,1:1C,1:1C-,1:1A,1:1D+,2:1B,0:0NA,0:0NA,0:0NA,1:1D+,2:1C,1:1B,1:1C,1:1D+,1:1C,1:1B-
230750B,2,N,15,25,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,10,N,12,120,1:1B-,1:1C-,1:1B+,1:1A,1:1C+,1:1B,1:1B+,0:0NA,1:1C,0:0NA,0:0NA,1:1A,1:1B,1:1D,1:1C-,1:1B-,1:1C,1:1B+,1:1B
230750B,4,Y,70,50,1:1B,1:1B,1:1B,1:1A,1:1A,1:1B,1:1B,0:0NA,0:0NA,0:0NA,1:1C,1:1B,1:1B,1:1B+,1:1B-,1:1B-,1:1C+,1:1B,1:1C-
230750B,9,Y,5,123,1:1D,1:1B,1:1C,1:1B,1:1C,3:0,0:0NA,1:1B-,2:1C,0:0NA,0:0NA,0:0NA,1:1B+,2:1C,1:1A,1:1C,1:1C,1:1B,1:1B+
230750B,4,Y,70,71,3:0,1:1B,1:1D,1:1C,1:1C,1:1B,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,1:1B,1:1C,1:1B,1:1A,1:1B+,1:1C+,1:1B-,1:1B
230750B,10,Y,0,146,1:1D-,1:1D+,1:1C,1:1B+,1:1D,1:1C+,1:1B-,0:0NA,2:1B-,0:0NA,0:0NA,1:1D,1:1B-,1:1C+,1:1C+,2:1C,1:1C+,1:1D-,2:1B
230750B,5,Y,70,50,1:1A,1:1B,1:1A,1:1A,1:1A,1:1A,1:1A,0:0NA,1:1A,0:0NA,0:0NA,1:1A,1:1B,1:1B,1:1A,1:1B+,1:1A,1:1A,1:1B
230750B,9,N,70,13,2:1C,1:1C,1:1B,1:1B,1:1A,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1C,1:0F,1:0,1:1D,0:0NA,1:0,0:0NA
230750B,4,N,5,12,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,8,N,6,77,3:0,1:1B,1:1A,2:1A,1:1B-,1:1B-,1:1B+,0:0NA,2:1A-,0:0NA,0:0NA,2:0,1:1A,1:1C+,1:1B-,1:1B,1:1B-,0:0NA,1:0
230750B,4,N,70,9,1:1C,1:1C,1:1B,1:1B,1:1C,1:1C,1:1A,0:0NA,1:1C,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1C-,0:0NA,0:0NA
230750B,2,N,0,103,2:0B,1:1B,3:0,1:1A,2:1C-,1:1B,1:1B-,0:0NA,1:1A,0:0NA,0:0NA,1:1B,1:1B-,2:0D,1:1C,2:1C-,1:1C,1:0,2:0
230750B,2,N,70,3,1:1B,1:1C,1:1B,0:0NA,1:1C,1:1B,1:1A,2:0F,1:1B,0:0NA,0:0NA,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,2,N,70,13,1:1,1:1,1:1B,1:1A,1:1C,1:1B,1:1B,0:0NA,2:0F,0:0NA,0:0NA,1:1C,1:0,0:0NA,1:0,1:0,1:1D,0:0NA,0:0NA
230750B,7,N,0,50,2:1C,0:0NA,1:1C,1:1C,1:1C,0:0NA,0:0NA,0:0NA,1:1C+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,13,N,62,63,1:1C,2:1A,1:1C,2:1B,1:1A,1:1C,1:1D,0:0NA,1:1C,0:0NA,0:0NA,3:1B,1:1B-,1:1A-,1:1D+,1:1C,1:1B+,1:1C+,2:1C-
230750B,4,Y,70,55,1:1C,1:1A-,1:1A,1:1A,1:1B,1:1B,1:1B,0:0NA,0:0NA,1:1A,1:1D,1:1A,1:1C+,1:1A,2:1B+,1:1A,1:1B,1:1B+,1:1B+
230750B,12,N,0,96,0:0NA,0:0NA,1:0,1:1C+,3:0W,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,6,Y,70,61,1:1A,1:1B,1:1A,0:0NA,1:1B,1:1A,1:1A,0:0NA,1:1B,0:0NA,0:0NA,1:1A,1:1B+,1:1C+,1:1B,1:1A,1:1B,1:1C+,1:1A-
230750B,9,Y,16,106,1:1A-,1:1A,1:1C,0:0NA,1:1B,1:1B,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,1:1B+,1:1A,1:1A-,1:1B-,1:1B-,1:1B,1:1C,1:1B+
230750B,3,N,70,22,1:1B,1:1A,1:1A,0:0NA,1:1B,1:1C,1:1B,0:0NA,1:1C,0:0NA,0:0NA,1:1A,1:1B+,1:1D,1:1C+,1:1A,2:1D+,0:0NA,0:0NA
230750B,4,Y,95,55,1:1A,1:1A,1:1A,1:1A,1:1A,1:1A,1:1A,0:0NA,0:0NA,1:1A,1:1A,1:1A,1:1A-,0:0NA,0:0NA,1:1A,1:1A,1:1A-,1:1A
230750B,2,N,11,23,2:0,2:0,1:1B-,1:1A,1:1B,1:1B,1:1A-,1:0,2:1C,0:0NA,0:0NA,6:0,2:0,2:0,2:0,1:0,1:0,0:0NA,0:0NA
230750B,10,Y,9,125,1:1B+,1:1C-,1:1C-,1:1A,1:1C,1:1B,1:1A-,0:0NA,2:1B,0:0NA,0:0NA,1:1C,1:1A,1:1C+,1:1B,1:1C+,1:1C-,2:1C+,1:1B-
230750B,6,N,70,50,1:1B,1:1C,1:1A,1:1A,1:1B,1:1C,1:1A,0:0NA,1:1C,0:0NA,0:0NA,1:1C,1:1A-,2:1C-,1:1B,1:1B,1:1C,1:1C+,1:1B-
230750B,6,N,70,27,1:1B,1:1C-,1:1C,1:1B,1:1B,1:1C,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,2:1C-,2:0F,2:0F,1:1C+,1:1C,0:0NA,0:0NA
230750B,5,Y,65,82,1:1C,2:1D,1:1B,3:1C,1:1C,1:1C,1:1C,0:0NA,2:0,0:0NA,0:0NA,0:0NA,1:1C,1:1D,1:1B-,1:1C,1:1D+,1:1C-,1:1B-
230750B,7,Y,70,59,1:1C,1:1A,1:1B,1:1A,1:1B,1:1C,1:1B,0:0NA,1:1C+,0:0NA,0:0NA,1:1B,1:1A,1:1C-,2:1B,2:1C+,1:1C,1:1C+,1:1B-
230750B,4,N,0,12,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,9,N,0,104,1:1D,1:1D,1:1C,1:0,1:1D,2:1D,1:1A-,0:0NA,1:1C,0:0NA,0:0NA,1:1C,2:1C,0:0NA,1:1B,1:1D,1:1D+,1:0,1:0
230750B,3,Y,79,55,1:1A,1:1B,1:1B,1:1A,1:1A,1:1B,1:1B+,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B,1:1A-,1:1B,1:1B-,1:1C+,1:1B
230750B,5,Y,70,50,1:1A,1:1B,1:1B,1:1C,1:1B,1:1B,1:1A,0:0NA,1:1C,0:0NA,0:0NA,1:1C,2:1B+,1:1B-,2:0,3:1B+,1:1B-,1:1B,1:1A-
230750B,8,N,0,69,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,2:0,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
