Major_Cd,N_Terms,Graduated,Transfer_Cr,Inst_Cr,ACCT220,ACCT230,BLAW280,COMP100,ECON160,ECON161,ENGL205,MATH103,SOM120,MATH150A,MATH150B,MATH140,BUS302,FIN303,MGT360,MKT304,SOM306,ECON308,MGT370,MKT380,BLAW308
230741B,13,Y,0,159,1:1B-,1:1C,1:1C,1:1A,1:1B,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1B+,1:1CR,1:1D-,1:1B,1:1C,1:1D+,1:1B,1:1B,0:0NA,1:1C+
230741B,9,N,34,44,1:1C,1:1C,1:1C,1:1A-,0:0NA,1:1B,1:1A,1:1B,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,4,N,0,0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,5,Y,70,55,1:1,1:1B,1:1B,1:1A,1:1C,1:1C,1:1B,0:0NA,0:0NA,1:1B,1:1C,1:1A,1:1B,1:1CR,1:1B+,1:1A,1:1B,2:1B-,1:1B+,1:1A-,0:0NA,1:1A-
230741B,9,Y,19,141,2:1D-,2:1C,1:1B,1:1B,2:1C+,1:1C,1:1A,1:1A,0:0NA,0:0NA,0:0NA,1:1C,2:0,1:1CR,1:1D-,1:1A,1:1B+,1:1C-,1:1D+,1:1B,0:0NA,1:1D+
230741B,4,Y,70,61,1:1B,1:1C,1:1B,1:1A-,1:1C,1:1C,1:1C+,1:1C,0:0NA,0:0NA,0:0NA,1:1B,2:1B,3:0,2:1D,2:1C,1:1C,2:1B,1:1C,1:1B+,0:0NA,1:1C+
230741B,4,N,67,6,1:1A,0:0NA,1:1B,1:1A,1:1B,1:1B,1:1A,1:0WU,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,0,29,0:0NA,0:0NA,0:0NA,0:0NA,1:1B-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,4,N,3,27,1:0,0:0NA,0:0NA,1:1C,1:0,0:0NA,1:1B-,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,5,N,64,10,1:1,1:1,1:1A,2:1B,1:1A,1:1A,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,4,N,70,19,1:1C,1:1C,1:1C,1:1B,1:1C,1:1C,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1B-,1:1CR,1:1B,2:0F,1:1C,1:1C,1:1C,0:0NA,0:0NA,1:0F
230741B,6,Y,36,84,1:1B,1:1C,2:0,1:1A,1:1B,1:1B,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1B+,1:1CR,1:1A-,1:1A,1:1B-,1:1B,2:1B+,2:0,0:0NA,1:1C+
230741B,12,Y,12,131,1:1B,1:1B,1:1C+,1:1A,1:1B,1:1B,1:1C+,1:1A,0:0NA,0:0NA,0:0NA,1:1C,1:1B-,1:1CR,1:1C-,1:1B+,1:1C,1:1B,1:1B+,1:1B,0:0NA,1:1C+
230741B,4,N,74,13,1:1D-,0:0NA,1:1C,0:0NA,1:1C,1:1D-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,3,Y,48,79,1:1B,1:1B,1:1B,1:1B,1:1C,1:1B,1:1B,1:1C,0:0NA,0:0NA,0:0NA,2:1B+,1:1C,1:1CR,1:1D+,1:1C+,1:1B+,1:1C-,1:1C-,1:1C+,0:0NA,2:0
230741B,6,N,0,88,1:1B-,1:1C,1:1B,1:1B+,2:1B,2:0F,1:1A,1:1C+,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1D+,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,N,45.9,6,1:1,1:1B,0:0NA,1:1A,1:1B-,1:1C+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA
230741B,4,Y,70,50,1:1B,1:1B,1:1A,1:1A,1:1C,1:1C,1:1A,1:1C,0:0NA,0:0NA,0:0NA,1:1B,1:1B,1:1CR,1:1C-,1:1B,1:1C-,1:1C,1:1C,1:1A-,0:0NA,1:1B
230741B,10,N,0,92,1:1D,1:1D,2:1D,3:1A,1:1D,1:1D,1:1B-,1:1B-,0:0NA,0:0NA,0:0NA,2:0,1:1B,3:0NC,2:0,2:1C-,2:0,1:0,0:0NA,1:1A-,0:0NA,1:0F
230741B,10,Y,12,116,1:1B,1:1B,1:1C,1:1A,1:1B,1:1A,1:1B-,2:1B-,1:1C,0:0NA,0:0NA,0:0NA,1:1B-,1:1CR,1:1C-,1:1A,1:1D,1:1D+,1:1C,1:1B+,0:0NA,1:1C
230741B,9,Y,73,70,1:1B,1:1B,1:1B,1:1A,1:1B,1:1B,1:1A,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,2:0,2:0,1:1A-,1:1B,1:1B,2:0,1:1A-,1:1A,0:0NA,1:1C+
230741B,5,N,73.3,22,1:1C,1:1C,1:1C,1:1C,1:1A,1:1B,1:1D,1:1C,0:0NA,0:0NA,0:0NA,1:1B,1:1B+,1:1CR,1:0F,1:1C,1:0,2:0WU,1:1C,0:0NA,0:0NA,1:0
230741B,3,N,15,52,1:1C-,1:1C,1:1C-,1:1A,1:1B,2:1C,1:1B,2:1B,0:0NA,0:0NA,0:0NA,1:1C+,2:1C,3:0NC,2:0F,2:0F,2:1D-,1:1C+,0:0NA,0:0NA,0:0NA,0:0NA
230741B,10,N,24,32,1:1A,1:0F,1:1B,1:1C,1:1C,3:0W,1:1A,2:1B,0:0NA,0:0NA,0:0NA,3:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,5,Y,70,50,1:1A,1:1A,1:1A,1:1A,1:1A,1:1A,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1A,1:1CR,1:1A-,1:1A,1:1A,1:1A,1:1A,1:1A,0:0NA,1:1A
230741B,5,Y,70,50,1:1C,1:1B,1:1A,1:1C,1:1C,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1C,1:1CR,2:1D-,1:1B-,1:1D,1:1C,2:0,1:1B,0:0NA,1:1C-
230741B,4,Y,79,53,1:1A,1:1A,1:1A,1:1A,1:1C,1:1B,1:1A,1:1A-,0:0NA,0:0NA,0:0NA,1:1B,1:1B,1:1CR,1:1C,1:1A-,1:1B-,1:1C,1:1B-,1:1A-,0:0NA,1:1B
230741B,8,Y,66,72,1:1C,1:1C-,1:1C+,1:1D-,1:1B,1:1D-,1:1A-,1:1B,0:0NA,0:0NA,0:0NA,1:1C,1:1B,2:1CR,1:1D,1:1C+,2:1C+,2:1C,1:1D,2:1B,0:0NA,1:1C+
230741B,5,Y,70,67,1:1B,1:1C,1:1A,1:1B,1:1C,1:1C,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1B,3:1CR,3:1C+,1:1B+,1:1C,1:1D,1:1C,1:1B+,0:0NA,2:1C
230741B,1,Y,70,66,1:1B,1:1C,1:1B,1:1A-,1:1C,1:1C,0:0NA,1:1C,1:1C-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C-,1:1C+,1:1C-,1:1C,1:1C,1:1B+,0:0NA,1:1B-
230741B,4,N,69,28,1:1C,1:1D,1:1C,1:1C,1:1C,1:1D,1:1C,1:1B,0:0NA,0:0NA,0:0NA,1:1B,1:1D,1:0NC,1:1D,2:0,2:1C-,1:1C,0:0NA,0:0NA,0:0NA,0:0NA
230741B,10,Y,70,56,1:1B,1:1B,1:1A,1:1B,1:1B,1:1A,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1C,2:1CR,1:1A,1:1B-,1:1C,1:1D,1:1C,1:1B-,0:0NA,1:1C-
230741B,6,N,74,37,1:1B,1:1B,1:1B,1:1A,1:1A,1:1B,1:1C-,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B-,1:1CR,1:1C+,2:1C-,1:1C,1:1D+,1:1C,0:0NA,0:0NA,1:1C-
230741B,3,Y,0,136,1:1D,1:1C,1:1C,1:1C-,2:1C+,2:1C,0:0NA,2:1C,1:1C,0:0NA,0:0NA,0:0NA,1:1C+,3:1CR,1:1D+,1:1B,1:1B,1:1C-,2:1B-,1:1A-,0:0NA,1:1C
230741B,1,N,89,9,0:0NA,0:0NA,0:0NA,1:1B,1:1B,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,1:0,0:0NA,0:0NA,0:0NA
230741B,4,Y,88,52,1:1A,1:1A,1:1A,0:0NA,1:1B,1:1B,1:1A,1:1A,0:0NA,0:0NA,0:0NA,1:1A,1:1B,1:1CR,1:1C,1:1B,1:1B-,1:1C+,1:1C,1:1B,0:0NA,1:1B-
230741B,8,Y,24.5,121,1:1C,3:1D+,1:1B-,2:1A-,2:0D-,2:0,0:0NA,2:1A-,1:0,0:0NA,0:0NA,1:1A,2:1B-,2:1CR,2:1D,2:1C+,2:1C,1:1C-,1:1C,2:1C-,0:0NA,2:1C
230741B,3,Y,61,68,1:1B,1:1A,1:1B,1:1C,1:1C,1:1B,1:1C,1:1A,0:0NA,0:0NA,0:0NA,1:1C,1:1B,3:1CR,0:0NA,2:1C,1:1D,1:1C+,1:1D,1:1A-,0:0NA,2:1C+
230741B,3,N,70,21,1:1,1:1B,1:1B,1:1C+,1:1C,1:1B,1:1A-,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1B,1:1CR,1:1B,1:1C+,1:1A,1:1B+,1:0,0:0NA,0:0NA,0:0NA
230741B,2,N,2,41,0:0NA,0:0NA,0:0NA,1:1C-,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,6,N,70,12,1:1B,1:1C,1:1C,1:1B,1:1C,1:1B,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B-,1:0NC,1:0,1:1C,1:0,2:0D,0:0NA,0:0NA,0:0NA,1:0F
230741B,12,Y,15,108,1:1C,2:0,3:0,2:1D,4:0C,1:1C,0:0NA,0:0NA,2:1D,0:0NA,0:0NA,0:0NA,1:1B-,2:0,1:1B+,1:1C,1:1C,1:1C-,3:1C,1:1B-,0:0NA,2:0
230741B,5,N,10,103,1:1A-,1:1A,1:1A-,0:0NA,1:1A,1:1A,1:1A,1:1A-,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1CR,0:0NA,1:1A,1:1A,1:1B+,1:1B,0:0NA,0:0NA,1:1A
230741B,6,N,5,51,1:1C+,0:0NA,0:0NA,1:1B,1:1C,1:1C,2:1C+,1:1C,0:0NA,0:0NA,0:0NA,2:1B-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,5,Y,70,50,1:1C,1:1B,1:1B,1:1C,1:1A,1:1C,1:1C,1:1C,0:0NA,0:0NA,0:0NA,1:1B,1:1C,1:1CR,1:1B,2:1C+,1:1C-,1:1D,1:1C,1:1B,0:0NA,1:1C
230741B,5,Y,67.5,62,1:1C,1:1C,1:1C,0:0NA,1:1C,1:1B,1:1A,4:1B-,0:0NA,0:0NA,0:0NA,1:1C,3:1B-,3:1CR,1:1C-,2:1B+,2:1B,2:0,2:1C,1:1B+,0:0NA,2:1B+
230741B,2,Y,20,121,1:1B,3:1C,1:1C+,3:0,1:1C,1:1A,2:0F,0:0NA,0:0NA,0:0NA,0:0NA,1:1C+,1:1B-,1:1CR,2:0,1:1C,1:1C,2:1D+,2:0D,1:1B,0:0NA,1:1C-
230741B,12,Y,6,134,1:1D,1:1C+,1:1D,1:1A,1:1D,1:1D-,1:1B-,1:1C,0:0NA,0:0NA,0:0NA,1:1A,1:1B-,1:1CR,1:1D-,1:1B-,1:1D,1:1D+,3:1D,1:1B-,0:0NA,1:1C
230741B,8,Y,0,121,1:1B-,2:0,1:1B,1:1B+,1:1C,1:1D-,1:1B,1:1C,0:0NA,0:0NA,0:0NA,1:1B+,1:1B+,1:1CR,1:1D,1:1A-,1:1C-,1:1C,1:1B,1:1C,0:0NA,1:1D
230741B,6,Y,61,101,1:1C,1:1C,2:1D,1:1A,1:1D,1:1D+,1:1B-,0:0NA,0:0NA,0:0NA,0:0NA,1:1B-,1:1A-,1:1CR,1:1C-,2:1C,1:1C,1:1C,1:1C,1:1A-,0:0NA,1:1C
230741B,3,N,25,7,0:0NA,1:1B,0:0NA,1:0,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,3,Y,86,67,1:1C,0:0NA,1:1B,1:1B,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B-,2:1CR,2:1C-,0:0NA,1:1C+,0:0NA,0:0NA,1:1C+,0:0NA,1:1D
230741B,4,N,70,15,1:1A,1:1A,1:1A,1:1A,1:1B,1:1A,1:1A,1:1A,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1A,0:0NA,0:0NA,0:0NA
230741B,5,Y,70,59,1:1C,1:1C,1:1C,1:1B,1:1B,1:1A,1:1C,1:1B,0:0NA,0:0NA,0:0NA,1:1C,1:1C,3:1CR,1:1D,1:1C,1:1C-,1:1C,2:1C,1:1C-,0:0NA,1:1C
230741B,4,N,77.3,9,0:0NA,0:0NA,2:0,3:1B,1:1D,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,4,N,70,9,1:1B,1:1A,1:1A,1:1B,1:1B,1:1A,1:1A,1:1A,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,2:1D,0:0NA,0:0NA,0:0NA
230741B,12,N,66,50,3:1C+,1:1C,2:0,1:1A,1:1B,1:1C+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1C+,1:1CR,1:1C+,2:1B,1:1B,2:1C,1:0,1:0,0:0NA,1:0
230741B,3,Y,70,77,1:1A,1:1C,2:0,1:1A-,2:1C,1:1C,1:1A-,1:1A,0:0NA,0:0NA,0:0NA,1:1A,1:1B-,2:1CR,1:1D+,1:1C,3:1B,4:1A,1:1C+,1:1B+,0:0NA,1:1B-
230741B,5,N,0,51,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,1:1B,1:0,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,5,N,70,7,1:1C,1:1C,1:1B,1:1A,1:1C,1:1C,1:1B,1:1D,0:0NA,0:0NA,0:0NA,1:1B,1:0,1:0,0:0NA,0:0NA,0:0NA,1:1C,1:0,0:0NA,0:0NA,0:0NA
230741B,4,Y,69,65,1:1C,1:1C,1:1A,1:1B,1:1B,1:1C,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B,1:1CR,1:1D-,1:1C,1:1C+,1:1B,1:1B,1:1C,0:0NA,2:1D+
230741B,5,Y,70,59,1:1A,1:1A,1:1B,1:1A,1:1A,1:1B,1:1A,1:1A,0:0NA,0:0NA,0:0NA,1:1C,1:1B,1:1CR,1:1C+,1:1C,1:1C,1:1D+,0:0NA,1:1B,0:0NA,1:0
230741B,10,Y,21,114,1:1C,1:1D+,1:1B-,2:1C,2:0F,2:0,1:1A-,1:1C,0:0NA,0:0NA,0:0NA,1:1D,2:1B-,1:1CR,1:1C-,1:1B+,1:1B-,2:0,2:1B,1:1B+,0:0NA,1:1B
230741B,7,Y,70,88,1:1A,0:0NA,1:1C,1:1C+,1:1B,1:1A,1:1B,2:1A-,0:0NA,0:0NA,0:0NA,1:1B,1:1A-,1:1CR,0:0NA,1:1A-,1:1B,2:1A-,1:1C+,1:1B+,0:0NA,1:1B+
230741B,10,Y,70,103,0:0NA,1:1C,1:1C,1:1B+,1:1C,1:1C,1:1A,2:1C,0:0NA,0:0NA,0:0NA,1:1C,1:1B+,1:1CR,1:1C+,1:1C,2:1D,2:0D,2:1D+,1:1B,0:0NA,1:1C-
230741B,2,N,0,26,1:1B,1:0,1:0,1:1A-,1:1C,1:0,1:0,1:1A-,1:1C+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,10,N,0,28,0:0NA,0:0NA,0:0NA,1:1A,1:0WU,0:0NA,1:1B-,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,8,Y,8,125,2:1C,1:1A,2:0F,1:1A-,2:1B,1:1C-,2:1C-,1:1C+,0:0NA,0:0NA,0:0NA,1:1A,1:1B+,1:1CR,1:1B+,1:1C+,1:1C,2:1C+,1:1B,1:1B-,0:0NA,1:1C
230741B,10,Y,9,131,1:1B,1:1A,1:1C+,1:1A,1:1C,1:1C,1:1A,1:1A-,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,1:1CR,1:1B+,1:1A,0:0NA,0:0NA,1:1B,1:1B-,0:0NA,1:1C+
230741B,2,N,14,51,1:1C,1:1B,1:1A,1:1A,1:1C,1:1A,1:1C,1:1B,0:0NA,0:0NA,0:0NA,1:1C,1:1B-,1:1CR,1:1C+,1:1C+,3:1B-,1:1D,0:0NA,1:1B-,0:0NA,0:0NA
230741B,5,Y,78.3,65,1:1B,1:1B,1:1B,1:1B,1:1C,1:1C,1:1C,1:1C,0:0NA,0:0NA,0:0NA,1:1C,1:1C,1:1CR,1:1C,1:1C,1:1B-,1:1C,1:1C+,1:1B,0:0NA,1:1C
230741B,7,Y,9,120,1:1D,2:1A,1:1A-,1:1B,0:0NA,1:1C,1:1B+,0:0NA,0:0NA,2:1C,1:0WU,1:1C,1:1B+,1:1CR,1:1D+,1:1A,1:1A,1:1B-,1:1B,1:1B,0:0NA,1:1A-
230741B,1,N,70,10,1:1B,1:1C,1:1A,1:1B,1:1B,1:1C,1:1A,1:1D+,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,1:1D-,0:0NA,0:0NA,0:0NA
230741B,5,Y,70,50,1:1B,1:1B,1:1A,1:1B,1:1A,1:1B,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1B+,1:1CR,1:1B-,1:1B+,1:1B,1:1B+,1:1B,2:0,0:0NA,1:1B
230741B,2,N,70,27,1:1,1:1,1:1A,1:1A,1:1B,1:1C,1:1B,1:1B,0:0NA,0:0NA,0:0NA,1:1B,2:0,3:0,3:0,1:1C+,2:0,1:1C-,0:0NA,0:0NA,0:0NA,0:0NA
230741B,4,N,14,45,0:0NA,0:0NA,1:1C+,1:1B,1:1C,1:1C-,1:1A,1:1D,2:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,70,24,1:0,0:0NA,0:0NA,1:1A,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,2,Y,69,99,1:1A,1:1C-,1:1C,1:1A,1:1C,1:1D+,1:1A,0:0NA,1:1C,0:0NA,0:0NA,2:1D,1:1A-,1:1CR,1:1C-,1:1A,1:1B,1:1C+,1:1D+,1:1C,0:0NA,1:1C+
230741B,8,Y,183,51,1:1B,1:1A,1:1B,1:1A,0:0NA,0:0NA,1:1B,1:1A-,0:0NA,0:0NA,0:0NA,1:1A,2:1A,3:1CR,2:1B,1:0,0:0NA,1:1B-,1:1C,2:1B+,0:0NA,1:1B-
230741B,1,N,61,0,2:0,4:0,1:1A,3:0,2:1A,1:0,1:1A,1:1A,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C+,0:0NA,0:0NA,0:0NA,0:0NA
230741B,5,Y,58.3,83,1:1B-,1:1C+,1:1C,1:1B-,1:1C,1:1B-,0:0NA,2:1C,1:1C,0:0NA,0:0NA,0:0NA,1:1C+,1:1CR,1:1C,1:1C,1:1B,1:1C,1:1C,1:1B,0:0NA,1:1C-
230741B,6,N,80.3,7,1:1B,1:0,1:1B,1:1C,1:1C,1:1C,1:1C,1:0F,0:0NA,0:0NA,0:0NA,1:1B+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,5,Y,70,50,1:1C,1:1A,1:1C,1:1C,1:1C,1:1A,1:1B,1:1C,0:0NA,0:0NA,0:0NA,1:1C,1:1B,2:1CR,2:1B,1:1C+,1:1C,1:1C,1:1D,1:1B+,0:0NA,2:1C-
230741B,11,N,70,40,1:1A,1:1B,1:1B,1:1A,1:1B,1:1B,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1A,1:1CR,1:0D-,1:1C+,1:1B,1:1B,1:1C,1:1B+,0:0NA,1:1B+
230741B,6,Y,70,50,1:1A,1:1B,1:1A,1:1A,1:1B,1:1A,1:1A,1:1B,0:0NA,0:0NA,0:0NA,1:1C,1:1A,1:1CR,1:1A-,1:1A-,1:1A,1:1A-,1:1B,2:1A,0:0NA,1:1A-
230741B,10,N,50,75,1:1A,1:1A,1:1B,1:1B,1:1A,1:1A,1:1A,1:1B,0:0NA,0:0NA,0:0NA,1:1A,1:1C,1:1CR,1:1B+,1:1B,1:1B,1:1B+,1:1B+,1:1A-,0:0NA,1:1A-
230741B,4,N,7,3,0:0NA,0:0NA,0:0NA,1:1C+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,9,Y,19,103,1:1B+,1:1A-,1:1B,1:1A,1:1B,1:1B,1:1A-,1:1B+,0:0NA,0:0NA,0:0NA,0:0NA,1:1B-,1:1CR,1:1C,1:1B,1:1B-,1:1B,1:1B+,1:1B+,0:0NA,1:1A
230741B,4,N,0,4,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,4,N,70,3,1:1B,0:0NA,1:1A,1:1B,1:1C,1:1A,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C-,0:0NA,0:0NA,0:0NA,0:0NA
230741B,12,N,0,118,1:1C,1:1B+,1:1C-,1:1B+,1:1C+,1:1B,1:0,2:1C,0:0NA,0:0NA,0:0NA,2:1C+,1:1B-,2:1CR,0:0NA,1:1B-,3:1B,1:1C+,1:1B,1:1A,0:0NA,2:0
230741B,5,Y,70,55,1:1B,1:1B,1:1B,1:1A,1:1A,1:1A,1:1A,1:1B,0:0NA,0:0NA,0:0NA,1:1C,1:1A-,1:1CR,1:1B,1:1B+,1:1C,1:1C+,1:1C-,1:1B+,0:0NA,1:1C+
230741B,3,N,55,10,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,3,Y,13,126,1:1D,1:1D,1:1A,1:1B+,1:1D,2:0,2:1A,1:1B,0:0NA,0:0NA,0:0NA,1:1B,2:1B-,1:1CR,2:0D,2:1C+,2:1C,1:1C,1:1C,1:1B,0:0NA,3:1C
230741B,4,N,0,30,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,10,Y,17,128,1:1C,1:1D,1:1A,1:1D,1:1C,1:1D,0:0NA,3:0C,1:1D,0:0NA,0:0NA,0:0NA,1:1A-,1:1CR,1:1D-,1:1C,1:1C,1:1C-,1:1B,1:1C,0:0NA,2:0
230741B,11,Y,70,70,1:1B+,1:1A,1:1A,1:1B,1:1A-,1:1A,1:1A,0:0NA,0:0NA,1:1B,0:0NA,1:1A,1:1B,1:1CR,1:1B,1:1A,1:1A,1:1B+,1:1A,1:1B,0:0NA,1:1B
230741B,3,Y,78,49,1:1A,1:1B,1:1A,1:1A,1:1A,1:1A,1:1A,1:1A,0:0NA,0:0NA,0:0NA,1:1A,1:1A-,1:1CR,1:1A,1:1B+,1:1A-,1:1A,1:1A-,1:1A,0:0NA,1:1B+
230741B,7,Y,76,49,1:1,1:1B,1:1B,1:1A,1:1B,1:1A,1:1A,1:1A,0:0NA,0:0NA,0:0NA,1:1A,1:1B,1:1CR,1:1A-,1:1A,1:1C,1:1A-,1:1C+,1:1A,0:0NA,1:1C
230741B,7,N,6,92,0:0NA,0:0NA,1:1C-,1:1A,2:1D,0:0NA,1:1C,2:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,3,N,9,31,1:1D,0:0NA,0:0NA,2:1A-,2:1D-,0:0NA,0:0NA,0:0NA,1:1C-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,5,N,0,46,2:1C,1:1D,2:0I,2:1B,1:1C,1:1D,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,2:0,1:0,1:0,0:0NA,1:0,0:0NA,1:1D+,0:0NA,0:0NA,0:0NA,0:0NA
